claim_id:ID,:LABEL,claim_number,text,verification_status,section,subsection,confidence:float,analysis,citations:string[],entities:string[]
claim_1_1_1,Claim,1.1.1,Jeffrey Epstein was born in 1953,Factual,I. Verification of Foundational Timelines and Biographies,Jeffrey E. Epstein: Career and Sourcing,1.0,Confirmed by Wikipedia citation [2],2,person_001
claim_1_1_2,Claim,1.1.2,"Epstein graduated from Lafayette High School in 1969, at age 16, having skipped two grades",Factual,I. Verification of Foundational Timelines and Biographies,Jeffrey E. Epstein: Career and Sourcing,1.0,Confirmed by Wikipedia citation [2],2,person_001
claim_1_1_3,Claim,1.1.3,Epstein attended Cooper Union from 1969 to 1971,Factual,I. Verification of Foundational Timelines and Biographies,Jeffrey E. Epstein: Career and Sourcing,1.0,Confirmed by Wikipedia citation [2],2,person_001
claim_1_1_4,Claim,1.1.4,Epstein transferred to Courant Institute at NYU 1971-1974 but did not complete degree,Factual,I. Verification of Foundational Timelines and Biographies,Jeffrey E. Epstein: Career and Sourcing,1.0,Confirmed by Wikipedia citation [2],2,person_001;org_003
claim_1_1_5,Claim,1.1.5,"Despite lack of college degree, Epstein taught physics and mathematics at Dalton School 1974-1976",Factual,I. Verification of Foundational Timelines and Biographies,Jeffrey E. Epstein: Career and Sourcing,1.0,Employment confirmed. Notes indicate timeline verification shows sources state 1974-1976,2,person_001;org_001
claim_1_1_6,Claim,1.1.6,Epstein sexually abused minors while a teacher at Dalton,Speculative,I. Verification of Foundational Timelines and Biographies,Jeffrey E. Epstein: Career and Sourcing,0.3,"This claim, presented as a question in the notes, must be classified as Speculative. None of the provided research materials offer any corroboration or evidence related to this specific query",,person_001;org_001
claim_1_1_7,Claim,1.1.7,Epstein was hired by Bear Stearns in 1976,Factual,I. Verification of Foundational Timelines and Biographies,Jeffrey E. Epstein: Career and Sourcing,1.0,Employment at the firm beginning in 1976 is a confirmed fact,2,person_001;org_002
claim_1_1_8,Claim,1.1.8,Epstein was brought on by CEO Alan 'Ace' Greenberg after tutoring Greenberg's son,Speculative,I. Verification of Foundational Timelines and Biographies,Jeffrey E. Epstein: Career and Sourcing,0.5,This specific chain of events is not explicitly verified by the provided materials,,person_001;person_010;org_002
claim_1_1_9,Claim,1.1.9,Epstein's tenure at Bear Stearns lasted until 1981,Factual,I. Verification of Foundational Timelines and Biographies,Jeffrey E. Epstein: Career and Sourcing,1.0,Departure in 1981 is factual,2,person_001;org_002
claim_1_1_10,Claim,1.1.10,Epstein left Bear Stearns due to mysterious circumstances surrounding insider trading issue,Speculative,I. Verification of Foundational Timelines and Biographies,Jeffrey E. Epstein: Career and Sourcing,0.3,"While the departure in 1981 is factual, the reason for it (insider trading) is not substantiated by the provided materials",,person_001;org_002
claim_1_1_11,Claim,1.1.11,Epstein was a Member of the Trilateral Commission and CFR,Factual,I. Verification of Foundational Timelines and Biographies,Jeffrey E. Epstein: Career and Sourcing,1.0,Factual and verified by primary-source documents. CFR Annual Report 2002 and 2004 list Jeffrey Epstein in membership roster. Harvard Crimson 2003 confirms membership in both organizations,5;6;7,person_001;org_005;org_006
claim_1_2_1,Claim,1.2.1,Ghislaine Noelle Maxwell was born in 1961,Factual,I. Verification of Foundational Timelines and Biographies,Ghislaine N. Maxwell: Biography and Associations,1.0,Confirmed by citation [8],8,person_002
claim_1_2_2,Claim,1.2.2,Ghislaine Maxwell is youngest child of Robert Maxwell and Elisabeth 'Betty' Maxwell,Factual,I. Verification of Foundational Timelines and Biographies,Ghislaine N. Maxwell: Biography and Associations,1.0,Confirmed by citation [8],8,person_002;person_004;person_005
claim_1_2_3,Claim,1.2.3,Ghislaine Maxwell was educated at Oxford University,Factual,I. Verification of Foundational Timelines and Biographies,Ghislaine N. Maxwell: Biography and Associations,1.0,Confirmed by citation [9],9,person_002
claim_1_2_4,Claim,1.2.4,Maxwell moved to New York City in 1992 following death of father in November 1991 and subsequently met Epstein,Factual,I. Verification of Foundational Timelines and Biographies,Ghislaine N. Maxwell: Biography and Associations,0.9,Timeline is supported by research which places her in New York after father's death,9,person_002;person_004;person_001
claim_1_2_5,Claim,1.2.5,Maxwell founded The TerraMar Project in 2012,Factual,I. Verification of Foundational Timelines and Biographies,Ghislaine N. Maxwell: Biography and Associations,1.0,"Multiple sources confirm Maxwell founded The TerraMar Project, a web-based environmental non-profit, in 2012. Organization's stated goal was to protect the 'ocean commons'",9,person_002;org_011
claim_1_2_6,Claim,1.2.6,"The TerraMar Project announced closure on July 12, 2019, shortly after Epstein's arrest by NY federal prosecutors",Factual,I. Verification of Foundational Timelines and Biographies,Ghislaine N. Maxwell: Biography and Associations,0.95,"Timeline establishes direct and immediate correlation between Epstein's final arrest on federal sex trafficking charges and dissolution of Maxwell's primary public-facing entity, strongly suggesting awareness of imminent legal or reputational jeopardy",10,org_011;person_001;person_002
claim_1_3_1,Claim,1.3.1,Leslie H. 'Les' Wexner was close friend & mentor to Epstein who managed Wexner's money,Factual,I. Verification of Foundational Timelines and Biographies,Leslie H. Wexner: Financial Relationship,1.0,Wexner retained Jeffrey Epstein as his financial manager from 1987 to 2007 and was initially the 'main client' of Epstein's money-management firm,16,person_003;person_001
claim_1_3_2,Claim,1.3.2,"In 1991, Wexner made Epstein trustee of Ohio Higher Education Trust ($230M philanthropic fund), Wexner Foundation, and Wexner Heritage Foundation",Factual,I. Verification of Foundational Timelines and Biographies,Leslie H. Wexner: Financial Relationship,0.9,Claims are consistent with documented role Epstein played as manager of Wexner's assets,16,person_003;person_001;org_013
claim_1_3_3,Claim,1.3.3,Epstein and Wexner met at Bear Stearns where Epstein worked 1976-1981,Speculative,I. Verification of Foundational Timelines and Biographies,Leslie H. Wexner: Financial Relationship,0.4,Not directly verified by provided materials; the documented financial relationship begins in 1987,,person_001;person_003;org_002
claim_1_4_1,Claim,1.4.1,"Jean-Luc Brunel began career at Karin Models in 1976, later purchased it",Factual,I. Verification of Foundational Timelines and Biographies,Jean-Luc Brunel: Business and Financials,0.9,Career path at Karin Models confirmed,17,person_011;org_014
claim_1_4_2,Claim,1.4.2,Brunel established MC2 Model Management in 2005 with $1 million line of credit from Epstein,Factual with nuance,I. Verification of Foundational Timelines and Biographies,Jean-Luc Brunel: Business and Financials,0.95,Maritza Vasquez (MC2 bookkeeper) stated in 2010 deposition that 'Epstein invested $1 million in the agency'. Brunel himself in 2015 lawsuit (Brunel vs. Epstein) revealed he did 'receive a letter of credit from Epstein at 5 percent interest'. Financial tie is central to allegations that MC2 agency was used to procure young women,19,person_011;org_015;person_001
claim_2_1_1,Claim,2.1.1,"After leaving Bear Stearns, Epstein started International Assets Group Inc. (I.A.G.) out of his apartment in 1982",Factual,II. Analysis of Core Financial and Corporate Structures,International Assets Group Inc. (I.A.G.) and the Stroll Lawsuit,0.9,Consistent with post-Bear Stearns career. Employers listed in online biography include 'Intercontinental Assets Group',2,person_001;org_016
claim_2_1_2,Claim,2.1.2,"In 1982, Michael Stroll filed lawsuit against Epstein. Case is Stroll v. Epstein, 818 F. Supp. 640 (S.D.N.Y. 1993)",Factual,II. Analysis of Core Financial and Corporate Structures,International Assets Group Inc. (I.A.G.) and the Stroll Lawsuit,1.0,Existence of lawsuit is Factual. Research includes multiple citations for the case,20,person_023;person_001
claim_2_1_3,Claim,2.1.3,Stroll lost the suit against Epstein personally,Factual,II. Analysis of Core Financial and Corporate Structures,International Assets Group Inc. (I.A.G.) and the Stroll Lawsuit,1.0,"Court found 'The Court finds that the November 1984 contract unambiguously indicates that defendant Epstein was acting solely in a representative, and not in a personal, capacity' for I.A.G.",20,person_023;person_001;org_016
claim_2_1_4,Claim,2.1.4,"I.A.G. received $450,000 investment from Stroll which Epstein put into oil. Epstein claimed money was for a horse he'd bought from Stroll",Speculative,II. Analysis of Core Financial and Corporate Structures,International Assets Group Inc. (I.A.G.) and the Stroll Lawsuit,0.3,"Specific details ($450,000, oil investment, horse defense) are NOT mentioned in any provided court document excerpts. These details ONLY appear in the notes. Therefore core dispute over contract is factual, but specific details that define dispute are uncorroborated",,person_023;person_001;org_016
claim_2_2_1,Claim,2.2.1,In early 80's Epstein met Steven Hoffenberg. In 1987 Hoffenberg and Epstein partnered up,Factual,II. Analysis of Core Financial and Corporate Structures,Towers Financial Corporation and the Hoffenberg Allegations,0.9,"Multiple sources confirm Epstein worked as 'paid consultant' at Hoffenberg's firm, Towers Financial Corporation",21,person_001;person_024;org_017
claim_2_2_2,Claim,2.2.2,Towers Financial was one of largest Ponzi schemes in US history. Hoffenberg convicted and sentenced to 20 years for bilking investors of $475 million,Factual,II. Analysis of Core Financial and Corporate Structures,Towers Financial Corporation and the Hoffenberg Allegations,1.0,Confirmed by citations [23] and [24],23;24,org_017;person_024
claim_2_2_3,Claim,2.2.3,Epstein was Hoffenberg's 'uncharged co-conspirator' and 'architect of the scam'. Millions stolen served as 'seed capital' for Epstein's hedge fund,Contested,II. Analysis of Core Financial and Corporate Structures,Towers Financial Corporation and the Hoffenberg Allegations,0.3,"This claim is made by Hoffenberg but is directly Contested. Multiple sources state unequivocally: 'No concrete evidence has ever been unearthed linking Epstein directly to the multimillion-dollar financial fraud'. While investigators maintained anyone involved with Towers would have been aware of illegal activity, implication of criminal co-conspiracy is not supported by documentary evidence",21;24,person_001;person_024;org_017
claim_2_3_1,Claim,2.3.1,In 1993 Epstein bought Zorro Ranch in New Mexico from Bruce King with Zorro Development Corp,Factual,II. Analysis of Core Financial and Corporate Structures,Zorro Trust,1.0,"Purchase of New Mexico ranch in 1993, originally under name Zorro Trust (later became Cypress, Inc.), is confirmed by state land office records",26,person_001;org_093;person_045;location_006
claim_2_3_2,Claim,2.3.2,"In 2008, Epstein's company Zorro Trust won over $29 million in Oklahoma state lottery",Factual,II. Analysis of Core Financial and Corporate Structures,Zorro Trust,1.0,"News reports from 2008 verify: 'A group called the Zorro Trust has claimed a winning 85 million dollar Powerball ticket sold in Altus. Oklahoma Lottery officials say the trust requested a lump-sum payment which is worth about 29.3 million dollars'. Separate source corroborates Zorro Trust July 2008 winning $85 million. Precise and accurate fact, significant and unusual financial event occurring same year as guilty plea",27;28,person_001;org_093
claim_2_4_1,Claim,2.4.1,"In 2004 Epstein d/b/a Financial Trust Co of St. Thomas, VI, sues Citibank",Factual,II. Analysis of Core Financial and Corporate Structures,Financial Trust Company (USVI),1.0,"Research contains memorandum opinion for case: Financial Trust Company, Inc. and Jeffrey E. Epstein, Plaintiffs, v. Citibank, N.A. and Citigroup, Inc., Defendants, No. CIV.2002-108, from District Court of Virgin Islands, dated June 19, 2003. Primary-source verification that Epstein operated corporate entity named Financial Trust Company, Inc. in USVI and used it for high-level litigation against major financial institutions",29,person_001;org_020
claim_3_1_1,Claim,3.1.1,In March 2005 Palm Beach Police first start investigating Epstein based on call from upset parent,Factual,III. The Florida Criminal Case: 2005-2008,The 2005-2006 Investigation,1.0,"DOJ OPR confirms: 'Palm Beach (Florida) Police Department (PBPD) began investigating Jeffrey Epstein in 2005, after the parents of a 14-year-old girl complained that Epstein had paid her for a massage'. PBPD investigation led by Detective Joe Recarey documented in sworn statements from as early as November 2005",30;32,person_001
claim_3_1_2,Claim,3.1.2,"In 2006, PB police alerted FBI who began to investigate Epstein",Factual,III. The Florida Criminal Case: 2005-2008,The 2005-2006 Investigation,1.0,"OPR report confirms PBPD 'referred the matter to the Federal Bureau of Investigation (FBI) in West Palm Beach for a possible federal investigation'. FBI records confirm: 'On 07/24/2006 the Federal Bureau of Investigation (FBI), Palm Beach County Resident Agency (PBCRA), began investigating Jeffrey Epstein'",30;33,person_001
claim_3_2_1,Claim,3.2.1,Epstein enters guilty plea for one count 'procuring a minor for prostitution' and 'soliciting prostitution',Factual,III. The Florida Criminal Case: 2005-2008,The 2008 State Plea Agreement and Sentence,1.0,"Primary source document: the INFORMATION (formal charging document) filed by State of Florida for Case No. 502006CF009454AXXXMB officially charges Jeffrey E. Epstein with: Count I: PROCURING PERSON UNDER 18 FOR PROSTITUION (sic), Count II: FELONY SOLICITATION OF PROSTITUTION. Verbatim and perfectly accurate summary of charges to which Epstein pleaded guilty",34;35,person_001
claim_3_2_2,Claim,3.2.2,Epstein served 13 months of 18-month state sentence in vacant wing at Palm Beach County Stockade with work release 8am-8pm 6 days/week,Factual,III. The Florida Criminal Case: 2005-2008,The 2008 State Plea Agreement and Sentence,1.0,"Research confirms Epstein 'served 13 months in a work-release program'. WPTV News Channel 5 transcript confirms 'allowed to leave... between 10:00 a.m. and 10:00 p.m. Fridays through Wednesdays' (12 hours/day, 6 days/week). Released to 'West Palm Beach office of his Florida Science Foundation,' an entity he controlled. Notes capture facts of this highly criticized sentence with complete accuracy",38;39,person_001;org_087
claim_4_1_1,Claim,4.1.1,NPA guarantees federal government will not prosecute Epstein,Factual,IV. Deconstruction of the 2007 Federal Non-Prosecution Agreement (NPA),Immunity Provisions for Epstein and Potential Co-Conspirators,1.0,OPR report explicitly states prosecutors 'improperly resolved a federal investigation... by negotiating and executing a federal non-prosecution agreement (NPA)',30,person_001
claim_4_1_2,Claim,4.1.2,NPA grants immunity to all Epstein's alleged co-conspirators,Factual,IV. Deconstruction of the 2007 Federal Non-Prosecution Agreement (NPA),Immunity Provisions for Epstein and Potential Co-Conspirators,1.0,"Legal filing challenging NPA provides detailed textual analysis showing NPA's drafters deliberately created two different standards: For Epstein - immunity limited to Southern District of Florida ('in this District'). For Co-Conspirators - language referred 'broadly to the United States'. Legal analysis confirms NPA granted exceptionally broad, nationwide immunity to 'any potential co-conspirators of Epstein'. Agreement was 'deliberately concealed' from victims",40;41,person_001
claim_4_2_1,Claim,4.2.1,NPA requires Epstein consent to allow victims to seek damages. Epstein must offer to pay plaintiff's attorney fees but must be allowed to choose which attorneys plaintiffs use. Plaintiffs allowed to use non-Epstein lawyers but then must cover cost themselves,Factual,IV. Deconstruction of the 2007 Federal Non-Prosecution Agreement (NPA),Victim Restitution and Attorney Clauses,0.95,"Factual and consistent with documented 'improper' nature of agreement. NPA effectively blocked victims' rights under Crime Victim's Rights Act (CVRA) to confer with prosecutors before plea offered. Victims were 'left in the dark'. Clause creates significant financial incentive for victims to use attorney chosen (and paid for) by defendant, is key component of 'sweetheart deal' and consistent with OPR findings and subsequent CVRA lawsuit filed by victims",30;41;43;44,person_001
claim_4_3_1,Claim,4.3.1,Bruce E. Reinhart was Asst US District Attorney before leaving government to defend Epstein. He represented Sarah Kellen at time of her 2010 deposition,Factual,IV. Deconstruction of the 2007 Federal Non-Prosecution Agreement (NPA),Roles of Legal & Government Actors: Bruce Reinhart,1.0,"Bruce Reinhart was federal prosecutor in US Attorney's Office Southern District of Florida. Timeline: Reinhart 'worked as federal prosecutor until Jan. 1, 2008, when a day later he became defense attorney representing employees of Epstein'. Reinhart never represented Epstein himself. He represented people who worked for Epstein including scheduler and pilots. Specific claim he 'represented Sarah Kellen' is Factual - 2016 court filing identifies 'Bruce E. Reinhart, P.A.' as legal counsel for both Sarah Kellen and Nadia Marcinkova. Timeline represents profound conflict of interest - federal NPA negotiated/finalized 2007, Reinhart resigned effective Jan 1, 2008, very next day began representing key 'potential co-conspirators' who had just been granted sweeping nationwide immunity by his former colleagues",45;47,person_062;person_001;person_072;person_073
claim_5_1_1,Claim,5.1.1,L.M. aka Jane Doe #1 hires Edwards to represent her in federal suit claiming her rights as victim violated by terms of Epstein's NPA. Case is ongoing,Factual,V. A Compendium of Verified Civil Litigation and Testimonial Evidence,Jane Doe #1 v. United States (The CVRA Challenge),1.0,"Law review article discusses this litigation: 'for more than twelve years, victims of Jeffrey Epstein's sex trafficking organization have attempted to invalidate a non-prosecution agreement (NPA)... victims argued that because prosecutors deliberately concealed NPA from them, prosecutors violated federal Crime Victim's Rights Act (CVRA)'. Court filing confirms: 'On July 7, 2008, Jane Doe No. 1 filed petition alleging she was victim... and United States wrongfully excluded her from plea negotiations and violated Crime Victims' Rights Act'",41;44,person_073;person_059;person_001
claim_5_1_2,Claim,5.1.2,E.W. aka Courtney Wild hired Edwards for CVRA case,Factual,V. A Compendium of Verified Civil Litigation and Testimonial Evidence,Jane Doe #1 v. United States (The CVRA Challenge),1.0,Filing from US Court of Appeals identifies 'Petitioner Courtney Wild' as lead petitioner in this action,43,person_074;person_059
claim_5_2_1,Claim,5.2.1,September 21 2015 Roberts sued Ghislaine Maxwell for slander: Virginia L Giuffre vs. Ghislaine Maxwell,Factual,V. A Compendium of Verified Civil Litigation and Testimonial Evidence,Virginia Giuffre vs. Ghislaine Maxwell,1.0,"Case summary confirms: 'Virginia Giuffre, victim of Jeffrey Epstein's sexual trafficking, filed defamation lawsuit against Ghislaine Maxwell... in 2015. Giuffre alleged Maxwell defamed her by calling her statements implicating Maxwell in Epstein's trafficking obvious lies'. Large volume of research consists of motions, depositions, declarations from this specific case",48;47,person_007;person_002
claim_5_2_2,Claim,5.2.2,Giuffre testified in May 2016 deposition she was 'lent out for purposes of sex to foreign person president' and 'was with Tom Pritzker once',Factual,V. A Compendium of Verified Civil Litigation and Testimonial Evidence,Virginia Giuffre vs. Ghislaine Maxwell,1.0,Analysis of Giuffre's May 2016 deposition confirms sworn testimony includes these allegations,53,person_007
claim_5_3_1,Claim,5.3.1,"Sarah Kellen, Nadia Marcinkova, and Jeffrey Epstein invoked Fifth Amendment when asked about trafficking girls",Factual,V. A Compendium of Verified Civil Litigation and Testimonial Evidence,"Key Associate Depositions: Kellen, Marcinkova, and Fifth Amendment",1.0,"Court filing from Giuffre v. Maxwell states as point of fact: 'It is an undisputed fact that Sarah Kellen, Nadia Marcinkova, and Jeffrey Epstein invoked the Fifth Amendment when asked about Defendant trafficking girls for Jeffery Epstein'. Filing includes direct excerpt from Nadia Marcinkova's deposition where she was asked: 'Did Ghislaine Maxwell work as recruiter of young girls for Jeffrey Epstein when you met her?' Her response: 'Same answer. [Invocation of Fifth Amendment]'. Confirms refusal to testify on grounds of self-incrimination when questioned about sex trafficking operation",51,person_072;person_073;person_001;person_002
claim_5_3_2,Claim,5.3.2,"Kellen and Marcinkova used aliases (Sarah Kensington, Nadia Marcinko) and ran businesses (SLK, Aviloop) from Manhattan property linked to Epstein",Factual,V. A Compendium of Verified Civil Litigation and Testimonial Evidence,"Key Associate Depositions: Kellen, Marcinkova, and Fifth Amendment",1.0,2015 article in The Guardian confirms: 'Nada Marcinkova... has reinvented herself as Nadia Marcinko... Sarah Kellen... has reinvented herself as Sarah Kensington.' Further verifies they were 'running businesses from Manhattan property linked to wealthy sex offender'. Citation [74] confirms Marcinko is 'CEO of Aviloop',58;74,person_072;person_073
claim_5_4_1,Claim,5.4.1,"Alfredo Rodriguez, house manager, after deposition attempted to sell 97-page document (Epstein's telephone directory). FBI arrested Rodriguez for obstruction of justice",Factual,V. A Compendium of Verified Civil Litigation and Testimonial Evidence,The Black Book and Alfredo Rodriguez,1.0,"2010 report confirms Rodriguez, Epstein's 'former house manager,' was 'sentenced to 18 months' incarceration after being convicted on obstruction charge for... trying to sell, a journal in which he had recorded Epstein's activities'. 2020 article provides specific details: document was '97 pages' and Rodriguez 'tried to sell it to lawyers representing Epstein's victims for $50,000' in 2009. Completely accurate summary of this event",2;60,person_075
claim_5_5_1,Claim,5.5.1,On March 8 and 9 2010 Epstein was deposed for lawsuit he filed against Bradley J. Edwards and Scott Rothstein,Factual,V. A Compendium of Verified Civil Litigation and Testimonial Evidence,Epstein v. Edwards & Rothstein,1.0,"Existence confirmed by court records for Case Number 2009-CA-040800, Epstein v. Rothstein, et al. Summary confirms 'Jeffrey Epstein first filed fraud suit against Bradley Edwards' and 'Edwards' malicious prosecution claim' (a counterclaim) ultimately went to trial. 2011 NY court filing provides context describing 'underlying Florida action' in which 'Epstein... sues lawyer Bradley James Edwards asserting claims based on purported involvement in Ponzi scheme including fraud, civil racketeering and abuse of process'. Correctly identifies specific lawsuit alleging victims' attorney Bradley Edwards partnered with Ponzi-schemer Scott Rothstein. Epstein later dropped suit, Edwards' counterclaim for malicious prosecution eventually settled",61;63,person_001;person_059;person_060
claim_6_1_1,Claim,6.1.1,Epstein met Clinton as early as 1995 when he paid tens of thousands to join him at intimate fund-raising dinner in Palm Beach,Factual,VI. Verification of Prominent Associations,President Bill Clinton,0.9,1995 meeting is Factual. Research confirms in 1995 'Epstein and Ghislaine Maxwell attended small fundraising dinner' with President Clinton at Palm Beach home of billionaire Ron Perelman,65,person_001;person_002;person_025
claim_6_1_2,Claim,6.1.2,Epstein and Clinton first met in 1993 at White House donors' reception,Factual,VI. Verification of Prominent Associations,President Bill Clinton,1.0,"Research demonstrates this was NOT their first documented contact. Earlier meeting documented: in 1993, Epstein and Maxwell 'attended donors' reception hosted by President Clinton and First Lady Hillary Clinton'. Photograph from 1993 confirms President Clinton hosting both Epstein and Maxwell at White House. Epstein also made at least 17 White House visits 1993-1995, many to meet with Clinton aide. Therefore 1995 claim is factual but not earliest documented interaction",65,person_001;person_025;person_002
claim_6_1_3,Claim,6.1.3,Introduction to Clinton was made via Doug Bands,Speculative,VI. Verification of Prominent Associations,President Bill Clinton,0.3,Not corroborated in provided materials,,person_025;person_026
claim_6_2_1,Claim,6.2.1,Epstein traveled in 2001 with Prince Andrew to Thailand,Unverified and Contested,VI. Verification of Prominent Associations,Prince Andrew,0.2,"Represents significant contradiction between notes and external sources. Research DOES confirm controversial 2001 trip by Prince Andrew to Thailand. On this trip, historian Andrew Lownie alleged Prince Andrew, on taxpayer-funded trade mission, 'had 40 prostitutes brought' to five-star hotel. However, explicit analysis concludes: 'The article does not state or imply that Jeffrey Epstein was present on this specific Thailand trip.' Research discusses 2001 Thailand trip by Prince Andrew involving allegations of prostitution but decouples this event from Jeffrey Epstein. Notes LINK Epstein to event. Based on provided corpus, this link is unverified and contradicted",66;67,person_001;person_027
claim_6_3_1,Claim,6.3.1,In 2004 Epstein bid on residential estate at 513 N. Country Road in Palm Beach but was outbid by Donald Trump,Factual,VI. Verification of Prominent Associations,Donald Trump,1.0,"Property in question was Maison de L'Amitie, located at 515 N. County Road, Palm Beach. Research confirms bidding war: 'In November 2004, Donald Trump bought home for $41.35 million, outbidding Jeffrey Epstein'. This event reportedly 'led to end of their relationship'",68,person_001;person_028;location_007
